Parameter,Value
Implementation,dbo_multicast
name,Large Message
duration,10
message_rate,10
message_size,1000
Average Latency (ms),1.5004990144151793
Fairness Index,0.9605237345225284
Bandwidth Efficiency (%),95.6742085710589
Delivery Clock Fairness,0.6405611463126528
Delivery Clock Window (ms),717.6743799469765

Host,Latency (ms)
h1,1.320067204502425
h2,1.7754274409301296
h3,1.0944135161405926
h4,1.812087896087569

Host,Delivery Clock (ms)
h1,225.65368836183254
h2,681.013924789537
h3,0.0
h4,717.6743799469765
