Parameter,Value
Implementation,dbo_multicast
name,Large Message
duration,10
message_rate,10
message_size,1000
Average Latency (ms),1.504727363601972
Fairness Index,0.9864983930588261
Bandwidth Efficiency (%),94.84078801197312
Delivery Clock Fairness,0.37233841513380206
Delivery Clock Window (ms),438.09809256450836

Host,Latency (ms)
h1,1.4133700664248001
h2,1.8072414361763816
h3,1.429154608194833
h4,1.3691433436118732

Host,Delivery Clock (ms)
h1,44.226722812926944
h2,438.09809256450836
h3,60.0112645829598
h4,0.0
